Description,Population,Male,Female,Household
Sarab,"125,341","64,578","60,763","38,446"
Setteled in urban areas,"59,307","30,285","29,022","18,420"
Settled in rural areas,"66,033","34,292","31,741","20,025"
Unsettled ,1,1,0,1
Shabestar,"135,421","68,050","67,371","43,982"
Setteled in urban areas,"70,969","35,688","35,281","22,914"
Settled in rural areas,"64,452","32,362","32,090","21,068"
Unsettled ,0,0,0,0
Ajabshir ,"70,852","38,188","32,664","20,608"
Setteled in urban areas,"34,306","17,280","17,026","10,853"
Settled in rural areas,"36,546","20,908","15,638","9,755"
Unsettled ,0,0,0,0
Kaleibar ,"46,125","23,545","22,580","14,145"
Setteled in urban areas,"12,039","6,127","5,912","3,669"
Settled in rural areas,"34,086","17,418","16,668","10,476"
Unsettled ,0,0,0,0
Maragheh,"262,604","133,740","128,864","80,261"
Setteled in urban areas,"177,079","88,740","88,339","55,530"
Settled in rural areas,"85,524","44,999","40,525","24,730"
Unsettled ,1,1,0,1
Marand ,"244,971","124,646","120,325","75,711"
Setteled in urban areas,"156,053","79,250","76,803","48,296"
Settled in rural areas,"88,917","45,395","43,522","27,414"
Unsettled ,1,1,0,1
Malekan,"111,319","57,666","53,653","33,598"
Setteled in urban areas,"38,243","19,540","18,703","11,727"
Settled in rural areas,"73,076","38,126","34,950","21,871"
Unsettled ,0,0,0,0
Miyaneh,"182,848","94,355","88,493","57,665"
Setteled in urban areas,"114,996","58,919","56,077","35,575"
Settled in rural areas,"67,851","35,435","32,416","22,089"
Unsettled ,1,1,0,1
Haris ,"69,093","34,722","34,371","20,639"
Setteled in urban areas,"33,436","16,707","16,729","9,940"
Settled in rural areas,"35,657","18,015","17,642","10,699"
Unsettled ,0,0,0,0
Hashtrud ,"57,199","29,608","27,591","17,173"
Setteled in urban areas,"21,787","11,134","10,653","6,404"
Settled in rural areas,"35,412","18,474","16,938","10,769"
Unsettled ,0,0,0,0
Varzaqan,"52,650","27,001","25,649","16,273"
Setteled in urban areas,"8,701","4,512","4,189","2,436"
Settled in rural areas,"43,949","22,489","21,460","13,837"
Unsettled ,0,0,0,0
West Azarbayejan,"3,265,219","1,658,319","1,606,900","935,956"
Setteled in urban areas,"2,136,203","1,076,565","1,059,638","631,103"
Settled in rural areas,"1,129,000","581,738","547,262","304,837"
Unsettled ,16,16,0,16
Orumiyeh,"1,040,565","527,278","513,287","304,306"
Setteled in urban areas,"750,805","376,448","374,357","229,201"
Settled in rural areas,"289,755","150,825","138,930","75,100"
Unsettled ,5,5,0,5
Oshnaviyeh,"73,886","37,188","36,698","19,336"
Setteled in urban areas,"42,774","21,449","21,325","11,445"
Settled in rural areas,"31,112","15,739","15,373","7,891"
Unsettled ,0,0,0,0
Bukan,"251,409","127,379","124,030","74,250"
Setteled in urban areas,"194,846","98,325","96,521","57,313"
Settled in rural areas,"56,557","29,048","27,509","16,931"
Unsettled ,6,6,0,6
Poldasht,"42,170","21,602","20,568","11,537"
Setteled in urban areas,"14,139","7,116","7,023","4,206"
Settled in rural areas,"28,031","14,486","13,545","7,331"
Unsettled ,0,0,0,0
Piranshahr,"138,864","70,967","67,897","34,560"
Setteled in urban areas,"95,716","48,195","47,521","24,541"
Settled in rural areas,"43,148","22,772","20,376","10,019"
Unsettled ,0,0,0,0
Takab ,"80,556","40,235","40,321","23,482"
Setteled in urban areas,"49,677","24,878","24,799","14,369"
Settled in rural areas,"30,879","15,357","15,522","9,113"
Unsettled ,0,0,0,0
Chaldoran,"45,060","23,036","22,024","11,970"
Setteled in urban areas,"19,467","10,040","9,427","5,094"
Settled in rural areas,"25,590","12,993","12,597","6,873"
Unsettled ,3,3,0,3
Chaypareh,"47,292","24,071","23,221","13,718"
Setteled in urban areas,"26,767","13,666","13,101","7,819"
Settled in rural areas,"20,525","10,405","10,120","5,899"
Unsettled ,0,0,0,0
Khoy ,"348,664","176,634","172,030","101,130"
Setteled in urban areas,"225,931","113,565","112,366","67,484"
Settled in rural areas,"122,731","63,067","59,664","33,644"
Unsettled ,2,2,0,2
Sardasht,"118,849","60,447","58,402","31,049"
Setteled in urban areas,"68,162","34,535","33,627","18,131"
Settled in rural areas,"50,687","25,912","24,775","12,918"
Unsettled ,0,0,0,0
Salmas ,"196,546","100,817","95,729","53,907"
Setteled in urban areas,"101,440","52,144","49,296","29,500"
Settled in rural areas,"95,106","48,673","46,433","24,407"
Unsettled ,0,0,0,0
Shahindezh ,"92,456","46,461","45,995","27,669"
Setteled in urban areas,"54,135","27,167","26,968","16,209"
Settled in rural areas,"38,321","19,294","19,027","11,460"
Unsettled ,0,0,0,0
Shout,"55,682","28,390","27,292","15,756"
Setteled in urban areas,"27,675","14,035","13,640","7,861"
Settled in rural areas,"28,007","14,355","13,652","7,895"
Unsettled ,0,0,0,0
Maku,"94,751","48,623","46,128","27,009"
Setteled in urban areas,"56,560","29,000","27,560","16,983"
Settled in rural areas,"38,191","19,623","18,568","10,026"
Unsettled ,0,0,0,0
Mahabad ,"236,849","119,308","117,541","65,562"
Setteled in urban areas,"169,142","84,776","84,366","48,093"
Settled in rural areas,"67,707","34,532","33,175","17,469"
Unsettled ,0,0,0,0
Miandoab,"273,949","141,296","132,653","83,234"
Setteled in urban areas,"148,056","75,643","72,413","45,597"
Settled in rural areas,"125,893","65,653","60,240","37,637"
Unsettled ,0,0,0,0
Naqadeh,"127,671","64,587","63,084","37,481"
Setteled in urban areas,"90,911","45,583","45,328","27,257"
Settled in rural areas,"36,760","19,004","17,756","10,224"
Unsettled ,0,0,0,0
Ardebil,"1,270,420","650,255","620,165","377,423"
Setteled in urban areas,"866,034","441,024","425,010","256,895"
Settled in rural areas,"404,236","209,151","195,085","120,481"
Unsettled ,150,80,70,47
Ardebil,"605,992","309,504","296,488","180,975"
Setteled in urban areas,"531,454","270,441","261,013","159,308"
Settled in rural areas,"74,536","39,061","35,475","21,665"
Unsettled ,2,2,0,2
Bilehsavar,"51,404","26,440","24,964","15,114"
Setteled in urban areas,"23,414","11,893","11,521","6,874"
Settled in rural areas,"27,843","14,470","13,373","8,196"
Unsettled ,147,77,70,44
Parsabad,"177,601","91,956","85,645","50,083"
Setteled in urban areas,"105,378","54,093","51,285","29,802"
Settled in rural areas,"72,222","37,862","34,360","20,280"
Unsettled ,1,1,0,1
Khalkhal ,"86,731","43,791","42,940","26,779"
Setteled in urban areas,"47,376","23,694","23,682","14,060"
Settled in rural areas,"39,355","20,097","19,258","12,719"
Unsettled ,0,0,0,0
Sareyn ,"18,200","9,553","8,647","5,338"
Setteled in urban areas,"5,459","2,878","2,581","1,582"
Settled in rural areas,"12,741","6,675","6,066","3,756"
Unsettled ,0,0,0,0
Kowsar,"22,127","11,306","10,821","6,586"
Setteled in urban areas,"7,101","3,553","3,548","2,182"
Settled in rural areas,"15,026","7,753","7,273","4,404"
Unsettled ,0,0,0,0
Garmi ,"76,901","38,935","37,966","22,349"
Setteled in urban areas,"31,612","16,129","15,483","9,092"
Settled in rural areas,"45,289","22,806","22,483","13,257"
Unsettled ,0,0,0,0
Meshkinshah,"149,941","76,841","73,100","45,999"
Setteled in urban areas,"81,604","41,775","39,829","24,404"
Settled in rural areas,"68,337","35,066","33,271","21,595"
Unsettled ,0,0,0,0
Namin  ,"60,659","31,084","29,575","17,836"
Setteled in urban areas,"25,932","13,146","12,786","7,644"
Settled in rural areas,"34,727","17,938","16,789","10,192"
Unsettled ,0,0,0,0
Nayer  ,"20,864","10,845","10,019","6,364"
Setteled in urban areas,"6,704","3,422","3,282","1,947"
Settled in rural areas,"14,160","7,423","6,737","4,417"
Unsettled ,0,0,0,0
Esfahan,"5,120,850","2,599,477","2,521,373","1,607,482"
Setteled in urban areas,"4,507,309","2,282,289","2,225,020","1,411,624"
Settled in rural areas,"613,073","316,951","296,122","195,701"
Unsettled ,468,237,231,157
Aran & Bidgol,"103,517","52,644","50,873","32,050"
Setteled in urban areas,"89,022","45,019","44,003","27,506"
Settled in rural areas,"14,495","7,625","6,870","4,544"
Unsettled ,0,0,0,0
Ardestan ,"42,105","21,281","20,824","14,140"
Setteled in urban areas,"27,791","14,007","13,784","8,922"
Settled in rural areas,"14,314","7,274","7,040","5,218"
Unsettled ,0,0,0,0
Esfahan,"2,243,249","1,133,446","1,109,803","707,870"
Setteled in urban areas,"2,112,767","1,066,077","1,046,690","666,824"
Settled in rural areas,"130,461","67,354","63,107","41,028"
Unsettled ,21,15,6,18
Borkhar ,"122,419","63,109","59,310","37,623"
Setteled in urban areas,"113,875","58,592","55,283","34,928"
Settled in rural areas,"8,544","4,517","4,027","2,695"
Unsettled ,0,0,0,0
Buin and Miyandasht,"24,163","12,291","11,872","8,026"
Setteled in urban areas,"13,585","6,811","6,774","4,395"
Settled in rural areas,"10,578","5,480","5,098","3,631"
Unsettled ,0,0,0,0
Tiran & Karvan ,"71,575","36,701","34,874","22,704"
Setteled in urban areas,"30,167","15,320","14,847","9,555"
Settled in rural areas,"41,406","21,379","20,027","13,148"
Unsettled ,2,2,0,1
Chadegan  ,"32,479","16,554","15,925","9,833"
Setteled in urban areas,"14,256","7,189","7,067","4,278"
Settled in rural areas,"18,223","9,365","8,858","5,555"
Unsettled ,0,0,0,0
Khomeinishahr  ,"319,727","164,787","154,940","98,269"
Setteled in urban areas,"315,052","162,375","152,677","96,833"
Settled in rural areas,"4,675","2,412","2,263","1,436"
Unsettled ,0,0,0,0
Khansar,"33,049","16,446","16,603","10,923"
Setteled in urban areas,"21,883","10,684","11,199","7,092"
Settled in rural areas,"11,166","5,762","5,404","3,831"
Unsettled ,0,0,0,0
Khour& Biyabanak,"19,761","9,977","9,784","6,420"
Setteled in urban areas,"14,398","7,229","7,169","4,594"
Settled in rural areas,"5,363","2,748","2,615","1,826"
Unsettled ,0,0,0,0
Dehaghan,"34,511","17,571","16,940","11,118"
Setteled in urban areas,"23,382","11,949","11,433","7,526"
Settled in rural areas,"11,129","5,622","5,507","3,592"
Unsettled ,0,0,0,0
Semirom ,"74,109","37,886","36,223","22,530"
Setteled in urban areas,"35,713","18,127","17,586","11,069"
Settled in rural areas,"38,053","19,600","18,453","11,353"
Unsettled ,343,159,184,108
Shahin Shahr& Meymeh  ,"234,667","117,467","117,200","73,981"
Setteled in urban areas,"220,887","110,219","110,668","69,448"
Settled in rural areas,"13,776","7,245","6,531","4,531"
Unsettled ,4,3,1,2
Shahreza,"159,797","81,640","78,157","50,983"
Setteled in urban areas,"142,116","71,786","70,330","45,727"
Settled in rural areas,"17,676","9,851","7,825","5,255"
Unsettled ,5,3,2,1
Feridan ,"49,890","25,685","24,205","15,547"
Setteled in urban areas,"24,444","12,552","11,892","7,263"
Settled in rural areas,"25,364","13,089","12,275","8,268"
Unsettled ,82,44,38,16
Fereydunshahr ,"35,654","18,171","17,483","10,688"
Setteled in urban areas,"18,985","9,638","9,347","5,930"
Settled in rural areas,"16,669","8,533","8,136","4,758"
Unsettled ,0,0,0,0
Falavarjan,"249,814","128,785","121,029","77,213"
Setteled in urban areas,"167,342","86,225","81,117","51,443"
Settled in rural areas,"82,472","42,560","39,912","25,770"
Unsettled ,0,0,0,0
Kashan,"364,482","184,806","179,676","112,258"
Setteled in urban areas,"327,243","165,647","161,596","99,569"
Settled in rural areas,"37,236","19,156","18,080","12,686"
Unsettled ,3,3,0,3
Golpayegan ,"90,086","45,913","44,173","30,419"
Setteled in urban areas,"74,852","37,969","36,883","24,968"
Settled in rural areas,"15,230","7,940","7,290","5,447"
Unsettled ,4,4,0,4
Lenjan,"262,912","133,557","129,355","81,101"
Setteled in urban areas,"235,448","119,535","115,913","72,577"
Settled in rural areas,"27,463","14,021","13,442","8,523"
Unsettled ,1,1,0,1
Mobarakeh ,"150,441","77,029","73,412","46,936"
Setteled in urban areas,"124,929","63,854","61,075","38,955"
Settled in rural areas,"25,512","13,175","12,337","7,981"
Unsettled ,0,0,0,0
Naeen ,"39,261","19,618","19,643","13,378"
Setteled in urban areas,"31,260","15,687","15,573","10,290"
Settled in rural areas,"8,000","3,930","4,070","3,087"
Unsettled ,1,1,0,1
Najafabad ,"319,205","161,791","157,414","98,513"
Setteled in urban areas,"294,295","148,910","145,385","90,845"
Settled in rural areas,"24,908","12,879","12,029","7,666"
Unsettled ,2,2,0,2
Natanz,"43,977","22,322","21,655","14,959"
Setteled in urban areas,"33,617","16,888","16,729","11,087"
Settled in rural areas,"10,360","5,434","4,926","3,872"
Unsettled ,0,0,0,0
Alborz,"2,712,400","1,376,335","1,336,065","856,116"
Setteled in urban areas,"2,512,737","1,271,099","1,241,638","793,024"
Settled in rural areas,"199,559","105,181","94,378","62,995"
Unsettled ,104,55,49,97
Eshtehard ,"37,876","19,605","18,271","11,731"
Setteled in urban areas,"29,993","15,435","14,558","9,357"
Settled in rural areas,"7,882","4,169","3,713","2,373"
Unsettled ,1,1,0,1
Savojbalagh,"259,973","133,503","126,470","80,953"
Setteled in urban areas,"171,300","87,509","83,791","52,629"
Settled in rural areas,"88,625","45,988","42,637","28,280"
Unsettled ,48,6,42,44
Taleghan,"16,815","8,480","8,335","6,354"
Setteled in urban areas,"3,545","1,816","1,729","1,241"
Settled in rural areas,"13,270","6,664","6,606","5,113"
Unsettled ,0,0,0,0
Fardis,"271,829","136,682","135,147","86,619"
Setteled in urban areas,"243,179","122,211","120,968","77,597"
Settled in rural areas,"28,650","14,471","14,179","9,022"
Unsettled ,0,0,0,0
Karaj,"1,973,470","999,790","973,680","623,801"
Setteled in urban areas,"1,940,554","980,606","959,948","614,221"
Settled in rural areas,"32,863","19,138","13,725","9,529"
Unsettled ,53,46,7,51
Nazarabad,"152,437","78,275","74,162","46,658"
Setteled in urban areas,"124,166","63,522","60,644","37,979"
Settled in rural areas,"28,269","14,751","13,518","8,678"
Unsettled ,2,2,0,1
Ilam ,"580,158","295,199","284,959","159,310"
Setteled in urban areas,"395,263","200,419","194,844","109,648"
Settled in rural areas,"184,444","94,549","89,895","49,542"
Unsettled ,451,231,220,120
Abdanan ,"47,851","24,352","23,499","13,188"
Setteled in urban areas,"30,373","15,397","14,976","8,444"
Settled in rural areas,"17,478","8,955","8,523","4,744"
Unsettled ,0,0,0,0
Ilam ,"235,144","119,293","115,851","64,671"
Setteled in urban areas,"199,861","101,187","98,674","55,143"
Settled in rural areas,"35,230","18,077","17,153","9,514"
Unsettled ,53,29,24,14
Ivan ,"49,491","24,867","24,624","13,820"
Setteled in urban areas,"34,265","17,259","17,006","9,593"
Settled in rural areas,"15,136","7,558","7,578","4,203"
Unsettled ,90,50,40,24
Badreh ,"15,614","7,745","7,869","4,311"
Setteled in urban areas,"4,278","2,095","2,183","1,249"
Settled in rural areas,"11,336","5,650","5,686","3,062"
Unsettled ,0,0,0,0
Chardavel  ,"57,381","29,362","28,019","15,867"
Setteled in urban areas,"25,153","13,005","12,148","6,840"
Settled in rural areas,"32,221","16,354","15,867","9,025"
Unsettled ,7,3,4,2
Darrehshahr ,"43,708","22,310","21,398","12,012"
Setteled in urban areas,"23,412","11,969","11,443","6,410"
Settled in rural areas,"20,296","10,341","9,955","5,602"
Unsettled ,0,0,0,0
Dehloran  ,"65,630","34,068","31,562","16,959"
Setteled in urban areas,"41,183","20,872","20,311","11,430"
Settled in rural areas,"24,396","13,169","11,227","5,517"
Unsettled ,51,27,24,12
Sirvan ,"14,404","7,349","7,055","3,989"
Setteled in urban areas,"2,696","1,370","1,326",764
Settled in rural areas,"11,708","5,979","5,729","3,225"
Unsettled ,0,0,0,0
Malekshahi ,"21,138","10,547","10,591","6,022"
Setteled in urban areas,"14,856","7,377","7,479","4,309"
Settled in rural areas,"6,127","3,095","3,032","1,671"
Unsettled ,155,75,80,42
Mehran  ,"29,797","15,306","14,491","8,471"
Setteled in urban areas,"19,186","9,888","9,298","5,466"
Settled in rural areas,"10,516","5,371","5,145","2,979"
Unsettled ,95,47,48,26
     Bushehr ,"1,163,400","620,722","542,678","321,826"
Setteled in urban areas,"835,955","437,516","398,439","237,025"
Settled in rural areas,"325,495","182,221","143,274","84,265"
Unsettled ,"1,950",985,965,536
Bushehr ,"298,594","153,512","145,082","85,523"
Setteled in urban areas,"273,577","140,796","132,781","78,230"
Settled in rural areas,"24,975","12,696","12,279","7,281"
Unsettled ,42,20,22,12
Tangestan ,"76,706","38,970","37,736","22,080"
Setteled in urban areas,"23,427","11,739","11,688","6,579"
Settled in rural areas,"53,211","27,197","26,014","15,487"
Unsettled ,68,34,34,14
Jam,"70,051","36,508","33,543","19,997"
Setteled in urban areas,"38,118","19,643","18,475","11,204"
Settled in rural areas,"31,892","16,844","15,048","8,777"
Unsettled ,41,21,20,16
Dashti ,"86,319","43,216","43,103","24,474"
Setteled in urban areas,"59,616","29,827","29,789","16,631"
Settled in rural areas,"25,913","12,998","12,915","7,609"
Unsettled ,790,391,399,234
Dashtestan,"252,047","127,231","124,816","70,943"
Setteled in urban areas,"171,126","86,235","84,891","48,327"
Settled in rural areas,"79,929","40,485","39,444","22,362"
Unsettled ,992,511,481,254
Dayyer ,"60,612","30,796","29,816","16,403"
Setteled in urban areas,"48,207","24,206","24,001","13,199"
Settled in rural areas,"12,405","6,590","5,815","3,204"
Unsettled ,0,0,0,0
Deylam,"34,828","17,651","17,177","9,856"
Setteled in urban areas,"28,461","14,495","13,966","8,108"
Settled in rural areas,"6,360","3,154","3,206","1,746"
Unsettled ,7,2,5,2
Asalouye ,"73,958","51,642","22,316","16,496"
Setteled in urban areas,"32,394","23,357","9,037","7,956"
Settled in rural areas,"41,564","28,285","13,279","8,540"
Unsettled ,0,0,0,0
Kangan,"107,801","69,371","38,430","27,873"
Setteled in urban areas,"81,305","46,745","34,560","24,981"
Settled in rural areas,"26,496","22,626","3,870","2,892"
Unsettled ,0,0,0,0
Genaveh ,"102,484","51,825","50,659","28,181"
Setteled in urban areas,"79,724","40,473","39,251","21,810"
Settled in rural areas,"22,750","11,346","11,404","6,367"
Unsettled ,10,6,4,4
Tehran,"13,267,637","6,673,672","6,593,965","4,288,563"
Setteled in urban areas,"12,452,230","6,242,180","6,210,050","4,052,507"
Settled in rural areas,"814,698","430,911","383,787","235,397"
Unsettled ,709,581,128,659
Eslamshahr ,"548,620","279,282","269,338","168,288"
Setteled in urban areas,"512,156","260,294","251,862","157,283"
Settled in rural areas,"36,439","18,965","17,474","10,985"
Unsettled ,25,23,2,20
Baharestan,"536,329","277,160","259,169","156,791"
Setteled in urban areas,"498,632","257,690","240,942","145,875"
Settled in rural areas,"37,697","19,470","18,227","10,916"
Unsettled ,0,0,0,0
Pakdasht,"350,966","179,375","171,591","103,542"
Setteled in urban areas,"276,282","140,917","135,365","81,960"
Settled in rural areas,"74,679","38,453","36,226","21,577"
Unsettled ,5,5,0,5
Pardis ,"169,060","86,477","82,583","53,367"
Setteled in urban areas,"152,397","77,721","74,676","48,323"
Settled in rural areas,"16,651","8,747","7,904","5,032"
Unsettled ,12,9,3,12
Pishva,"86,601","43,718","42,883","25,704"
Setteled in urban areas,"59,184","29,562","29,622","18,054"
Settled in rural areas,"27,417","14,156","13,261","7,650"
Unsettled ,0,0,0,0
Tehran,"8,737,510","4,347,534","4,389,976","2,924,208"
Setteled in urban areas,"8,693,706","4,324,155","4,369,551","2,911,065"
Settled in rural areas,"43,221","22,895","20,326","12,596"
Unsettled ,583,484,99,547
Damavand ,"125,480","64,552","60,928","39,373"
Setteled in urban areas,"93,201","47,242","45,959","29,329"
Settled in rural areas,"32,278","17,309","14,969","10,043"
Unsettled ,1,1,0,1
Rey ,"349,700","187,223","162,477","96,996"
Setteled in urban areas,"146,837","75,487","71,350","41,819"
Settled in rural areas,"202,860","111,734","91,126","55,174"
Unsettled ,3,2,1,3
Robatkarim ,"291,516","149,072","142,444","89,271"
Setteled in urban areas,"231,501","117,520","113,981","72,098"
Settled in rural areas,"60,014","31,551","28,463","17,172"
Unsettled ,1,1,0,1
Shemiranat ,"47,279","24,645","22,634","16,107"
Setteled in urban areas,"28,514","14,732","13,782","9,621"
Settled in rural areas,"18,765","9,913","8,852","6,486"
Unsettled ,0,0,0,0
Shahriar ,"744,210","379,197","365,013","226,011"
Setteled in urban areas,"656,588","333,880","322,708","200,212"
Settled in rural areas,"87,618","45,313","42,305","25,795"
Unsettled ,4,4,0,4
Firuzkuh,"33,558","17,093","16,465","11,700"
Setteled in urban areas,"18,577","9,415","9,162","6,106"
Settled in rural areas,"14,981","7,678","7,303","5,594"
Unsettled ,0,0,0,0
Qods,"316,636","162,211","154,425","96,682"
Setteled in urban areas,"309,605","158,567","151,038","94,532"
Settled in rural areas,"7,026","3,640","3,386","2,148"
Unsettled ,5,4,1,2
Qarchak ,"269,138","138,249","130,889","79,853"
Setteled in urban areas,"231,075","118,260","112,815","69,029"
Settled in rural areas,"38,061","19,987","18,074","10,822"
Unsettled ,2,2,0,2
Malard ,"377,292","193,272","184,020","115,154"
Setteled in urban areas,"313,503","160,021","153,482","96,517"
Settled in rural areas,"63,736","33,214","30,522","18,585"
Unsettled ,53,37,16,52
Varamin ,"283,742","144,612","139,130","85,516"
Setteled in urban areas,"230,472","116,717","113,755","70,684"
Settled in rural areas,"53,255","27,886","25,369","14,822"
Unsettled ,15,9,6,10
       Chaharmahal & Bakhtiyari ,"947,763","482,356","465,407","270,434"
Setteled in urban areas,"607,444","307,798","299,646","175,842"
Settled in rural areas,"339,667","174,216","165,451","94,427"
Unsettled ,652,342,310,165
Ardal,"48,880","24,828","24,052","13,066"
Setteled in urban areas,"20,487","10,366","10,121","5,491"
Settled in rural areas,"28,389","14,460","13,929","7,574"
Unsettled ,4,2,2,1
Borujen,"122,483","62,141","60,342","36,238"
Setteled in urban areas,"104,053","52,579","51,474","30,791"
Settled in rural areas,"18,430","9,562","8,868","5,447"
Unsettled ,0,0,0,0
Bon,"28,326","14,396","13,930","8,799"
Setteled in urban areas,"17,427","8,830","8,597","5,378"
Settled in rural areas,"10,899","5,566","5,333","3,421"
Unsettled ,0,0,0,0
Saman,"34,616","17,691","16,925","11,080"
Setteled in urban areas,"14,192","7,155","7,037","4,554"
Settled in rural areas,"20,424","10,536","9,888","6,526"
Unsettled ,0,0,0,0
Shahr-e-Kord ,"315,980","159,555","156,425","93,104"
Setteled in urban areas,"288,199","145,398","142,801","84,658"
Settled in rural areas,"27,778","14,154","13,624","8,443"
Unsettled ,3,3,0,3
Farsan ,"95,286","48,906","46,380","26,914"
Setteled in urban areas,"75,962","38,924","37,038","21,391"
Settled in rural areas,"19,324","9,982","9,342","5,523"
Unsettled ,0,0,0,0
Kuhrang ,"41,535","21,456","20,079","10,859"
Setteled in urban areas,"5,711","3,026","2,685","1,455"
Settled in rural areas,"35,183","18,096","17,087","9,244"
Unsettled ,641,334,307,160
Keyar,"50,976","26,143","24,833","15,549"
Setteled in urban areas,"24,430","12,547","11,883","7,467"
Settled in rural areas,"26,542","13,593","12,949","8,081"
Unsettled ,4,3,1,1
Lordegan,"209,681","107,240","102,441","54,825"
Setteled in urban areas,"56,983","28,973","28,010","14,657"
Settled in rural areas,"152,698","78,267","74,431","40,168"
Unsettled ,0,0,0,0
      Khorasan-e-Razavi,"768,898","389,917","378,981","223,984"
Setteled in urban areas,"453,827","230,473","223,354","129,036"
Settled in rural areas,"315,070","159,443","155,627","94,947"
Unsettled ,1,1,0,1
Boshroye ,"26,064","13,116","12,948","8,255"
Setteled in urban areas,"19,381","9,758","9,623","5,953"
Settled in rural areas,"6,683","3,358","3,325","2,302"
Unsettled ,0,0,0,0
Birjand,"261,324","132,182","129,142","74,657"
Setteled in urban areas,"203,636","102,399","101,237","57,745"
Settled in rural areas,"57,688","29,783","27,905","16,912"
Unsettled ,0,0,0,0
Khosaf,"27,600","15,645","11,955","7,492"
Setteled in urban areas,"9,306","6,371","2,935","1,590"
Settled in rural areas,"18,293","9,273","9,020","5,901"
Unsettled ,1,1,0,1
Darmiyan  ,"53,714","27,052","26,662","14,639"
Setteled in urban areas,"14,672","7,335","7,337","3,835"
Settled in rural areas,"39,042","19,717","19,325","10,804"
Unsettled ,0,0,0,0
Zeerkooh,"40,155","20,418","19,737","11,178"
Setteled in urban areas,"7,286","3,649","3,637","1,754"
Settled in rural areas,"32,869","16,769","16,100","9,424"
Unsettled ,0,0,0,0
Sarayan ,"33,312","16,629","16,683","10,329"
Setteled in urban areas,"23,374","11,691","11,683","7,059"
Settled in rural areas,"9,938","4,938","5,000","3,270"
Unsettled ,0,0,0,0
Sarbisheh   ,"40,959","20,394","20,565","12,011"
Setteled in urban areas,"12,192","6,179","6,013","3,423"
Settled in rural areas,"28,767","14,215","14,552","8,588"
Unsettled ,0,0,0,0
Tabas,"72,617","37,000","35,617","22,142"
Setteled in urban areas,"46,600","23,620","22,980","14,020"
Settled in rural areas,"26,017","13,380","12,637","8,122"
Unsettled ,0,0,0,0
Ferdows ,"45,523","22,783","22,740","14,302"
Setteled in urban areas,"35,803","17,914","17,889","10,942"
Settled in rural areas,"9,720","4,869","4,851","3,360"
Unsettled ,0,0,0,0
Qayenat ,"116,181","58,420","57,761","34,794"
Setteled in urban areas,"60,092","30,562","29,530","17,081"
Settled in rural areas,"56,089","27,858","28,231","17,713"
Unsettled ,0,0,0,0
Nahbandan ,"51,449","26,278","25,171","14,185"
Setteled in urban areas,"21,485","10,995","10,490","5,634"
Settled in rural areas,"29,964","15,283","14,681","8,551"
Unsettled ,0,0,0,0
      Khorasan-e-Razavi,"6,434,501","3,245,185","3,189,316","1,938,703"
Setteled in urban areas,"4,700,924","2,362,097","2,338,827","1,422,109"
Settled in rural areas,"1,733,121","882,815","850,306","516,419"
Unsettled ,456,273,183,175
Bakharz,"54,615","27,580","27,035","15,525"
